SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
15742,15743,4399,FL-00140,ALFORD,32420,JACKSON,FL,3744250,3262237,482013,1944800,1668200,276600
15742,15743,4399,FL-00140,ALFORD,32420,WASHINGTON,FL,178062,137332,40730,119100,94400,24700
15742,15743,4399,FL-00140,ALLIGATOR POINT,32346,FRANKLIN,FL,513784,447859,65925,106600,93700,12900
15742,15743,4399,FL-00140,ALTHA,32421,CALHOUN,FL,17594222,14952549,2641673,9947400,8478800,1468600
15742,15743,4399,FL-00140,APALACHICOLA,32320,FRANKLIN,FL,1812552,1576667,235885,941900,835100,106800
15742,15743,4399,FL-00140,APALACHICOLA,32329,FRANKLIN,FL,57032,32715,24317,6800,0,6800
15742,15743,4399,FL-00140,BASCOM,32423,JACKSON,FL,2281918,1917523,364395,1357200,1169800,187400
15742,15743,4399,FL-00140,BLOUNTSTOWN,32424,CALHOUN,FL,13614752,11658809,1955943,7722200,6552700,1169500
15742,15743,4399,FL-00140,BONIFAY,32425,HOLMES,FL,1908429,1765400,143029,1182400,1098200,84200
15742,15743,4399,FL-00140,BONIFAY,32425,WASHINGTON,FL,363190,356015,7175,251400,246500,4900
15742,15743,4399,FL-00140,BRADENTON,34205,BAY,FL,47408,34258,13150,13200,0,13200
15742,15743,4399,FL-00140,BRISTOL,32321,CALHOUN,FL,10577,7777,2800,2800,0,2800
15742,15743,4399,FL-00140,BRISTOL,32321,LIBERTY,FL,6821737,6033177,788560,4134700,3705300,429400
15742,15743,4399,FL-00140,CALLAWAY,32404,BAY,FL,18445714,13762344,4683370,9466600,7022300,2444300
15742,15743,4399,FL-00140,CALLOWAY,32404,BAY,FL,373253,307228,66025,0,0,0
15742,15743,4399,FL-00140,CAMPBELLTON,32426,JACKSON,FL,684535,508507,176028,399600,288000,111600
15742,15743,4399,FL-00140,CAMPBELLTON,32426,WASHINGTON,FL,8559,8559,0,8600,8600,0
15742,15743,4399,FL-00140,CAPE SAN BLAS,32456,GULF,FL,101386,39986,61400,0,0,0
15742,15743,4399,FL-00140,CARRABELLE,32322,FRANKLIN,FL,3401823,2895706,506117,1742200,1436900,305300
15742,15743,4399,FL-00140,CARYVILLE,32427,HOLMES,FL,18184,9822,8362,11600,9600,2000
15742,15743,4399,FL-00140,CARYVILLE,32427,WASHINGTON,FL,133196,122961,10235,109200,98900,10300
15742,15743,4399,FL-00140,CHATTAHOOCHEE,32324,GADSDEN,FL,3965661,3397075,568586,2305200,1990700,314500
15742,15743,4399,FL-00140,CHIPLEY,32428,BAY,FL,69879,42929,26950,43400,19900,23500
15742,15743,4399,FL-00140,CHIPLEY,32428,WASHINGTON,FL,11531515,9909249,1622266,6026800,5299100,727700
15742,15743,4399,FL-00140,CLARKSVILLE,32430,CALHOUN,FL,5630597,4882035,748562,2821000,2368400,452600
15742,15743,4399,FL-00140,COTTONDALE,32431,JACKSON,FL,7519935,6351403,1168532,4013500,3367500,646000
15742,15743,4399,FL-00140,COTTONDALE,32431,WASHINGTON,FL,712415,631280,81135,416700,369200,47500
15742,15743,4399,FL-00140,CRAWFORDVILLE,32326,WAKULLA,FL,5014,4804,210,5100,4900,200
15742,15743,4399,FL-00140,CRAWFORDVILLE,32327,WAKULLA,FL,4507900,3649025,858875,2757600,2221500,536100
15742,15743,4399,FL-00140,CRESTVIEW,32536,BAY,FL,40265,0,40265,0,0,0
15742,15743,4399,FL-00140,CYPRESS,32432,JACKSON,FL,147941,125236,22705,49000,26200,22800
15742,15743,4399,FL-00140,DELRAY BEACH,33444,BAY,FL,40900,0,40900,40000,0,40000
15742,15743,4399,FL-00140,DONALSONVILLE,39845,SEMINOLE,GA,65315,39735,25580,63300,37700,25600
15742,15743,4399,FL-00140,EASTPOINT,32328,FRANKLIN,FL,2433765,1930617,503148,1034400,818700,215700
15742,15743,4399,FL-00140,EBRO,32437,BAY,FL,33451,17847,15604,23800,9600,14200
15742,15743,4399,FL-00140,EBRO,32437,WASHINGTON,FL,54731,53281,1450,31300,29800,1500
15742,15743,4399,FL-00140,FOUNTAIN,32438,BAY,FL,11697851,9798749,1899102,5836200,4816000,1020200
15742,15743,4399,FL-00140,FOUNTAIN,32438,CALHOUN,FL,848770,636170,212600,444600,333400,111200
15742,15743,4399,FL-00140,FOUNTAIN,32438,JACKSON,FL,84650,80015,4635,84700,80000,4700
15742,15743,4399,FL-00140,FOUNTAIN,32438,WASHINGTON,FL,224670,189025,35645,204800,169100,35700
15742,15743,4399,FL-00140,GRACEVILLE,32440,HOLMES,FL,151843,140423,11420,62800,60100,2700
15742,15743,4399,FL-00140,GRACEVILLE,32440,JACKSON,FL,1378647,1195565,183082,858200,711000,147200
15742,15743,4399,FL-00140,GRAND RIDGE,32442,CALHOUN,FL,354749,237854,116895,210100,126300,83800
15742,15743,4399,FL-00140,GRAND RIDGE,32442,GADSDEN,FL,20183,13183,7000,16300,9300,7000
15742,15743,4399,FL-00140,GRAND RIDGE,32442,JACKSON,FL,11105920,9511465,1594455,5871100,4945000,926100
15742,15743,4399,FL-00140,GREENSBORO,32330,GADSDEN,FL,30458,29408,1050,24900,23800,1100
15742,15743,4399,FL-00140,GREENWOOD,32443,JACKSON,FL,5770650,4834559,936091,2823800,2266600,557200
15742,15743,4399,FL-00140,GRETNA,32332,GADSDEN,FL,613057,476662,136395,195300,164100,31200
15742,15743,4399,FL-00140,GULF BREEZE,32563,BAY,FL,25146,19246,5900,25000,19100,5900
15742,15743,4399,FL-00140,HAVANA,32333,GADSDEN,FL,2084133,1933450,150683,1293200,1199900,93300
15742,15743,4399,FL-00140,HOSFORD,32334,LIBERTY,FL,1087147,980856,106291,750600,689900,60700
15742,15743,4399,FL-00140,KINARD,32449,CALHOUN,FL,2152032,1618032,534000,1030800,741000,289800
15742,15743,4399,FL-00140,LANARK VILLAGE,32323,FRANKLIN,FL,65040,48340,16700,0,0,0
15742,15743,4399,FL-00140,LYNN HAVEN,32444,BAY,FL,130378803,102418472,27960331,70355000,54061500,16293500
15742,15743,4399,FL-00140,LYNN HAVEN,32444,GULF,FL,112304,58929,53375,0,0,0
15742,15743,4399,FL-00140,MALONE,32445,JACKSON,FL,1600753,1416723,184030,808800,724400,84400
15742,15743,4399,FL-00140,MARIANNA,32443,JACKSON,FL,68960,66960,2000,0,0,0
15742,15743,4399,FL-00140,MARIANNA,32446,BAY,FL,83149,81949,1200,0,0,0
15742,15743,4399,FL-00140,MARIANNA,32446,JACKSON,FL,22953878,19552744,3401134,12677700,10841800,1835900
15742,15743,4399,FL-00140,MARIANNA,32447,JACKSON,FL,208534,170444,38090,41600,33000,8600
15742,15743,4399,FL-00140,MARIANNA,32448,JACKSON,FL,18809671,15675510,3134161,9888400,8060000,1828400
15742,15743,4399,FL-00140,MEXICO BEACH,32410,BAY,FL,3694434,2702390,992044,890100,608800,281300
15742,15743,4399,FL-00140,MEXICO BEACH,32410,GULF,FL,79100,0,79100,40000,0,40000
15742,15743,4399,FL-00140,MEXICO BEACH,32456,BAY,FL,20836001,15234211,5601790,8628400,6193600,2434800
15742,15743,4399,FL-00140,MEXICO BEACH,32456,GULF,FL,2176212,1550060,626152,1114800,788900,325900
15742,15743,4399,FL-00140,MIDWAY,32343,GADSDEN,FL,571995,495995,76000,271200,256600,14600
15742,15743,4399,FL-00140,OVERSTREET,32456,GULF,FL,112102,91102,21000,112200,91200,21000
15742,15743,4399,FL-00140,P C BEACH,32408,BAY,FL,1195690,916090,279600,555000,417500,137500
15742,15743,4399,FL-00140,P C BEACH,32413,BAY,FL,9796,8196,1600,0,0,0
15742,15743,4399,FL-00140,PANACEA,32346,FRANKLIN,FL,115315,99425,15890,0,0,0
15742,15743,4399,FL-00140,PANACEA,32346,WAKULLA,FL,1063070,827265,235805,689200,526600,162600
15742,15743,4399,FL-00140,PANAMA CITY,32401,BAY,FL,90655750,68727493,21928257,46254000,34536500,11717500
15742,15743,4399,FL-00140,PANAMA CITY,32401,GADSDEN,FL,500,0,500,0,0,0
15742,15743,4399,FL-00140,PANAMA CITY,32401,GULF,FL,9300,0,9300,7300,0,7300
15742,15743,4399,FL-00140,PANAMA CITY,32402,BAY,FL,370467,252187,118280,163800,96800,67000
15742,15743,4399,FL-00140,PANAMA CITY,32403,BAY,FL,674699,46909,627790,428100,9200,418900
15742,15743,4399,FL-00140,PANAMA CITY,32404,BAY,FL,189894169,146877477,43016692,98057200,74183800,23873400
15742,15743,4399,FL-00140,PANAMA CITY,32404,GULF,FL,12260,0,12260,12300,0,12300
15742,15743,4399,FL-00140,PANAMA CITY,32404,WASHINGTON,FL,138491,122516,15975,0,0,0
15742,15743,4399,FL-00140,PANAMA CITY,32405,BAY,FL,130205810,99672549,30533261,68881600,51709800,17171800
15742,15743,4399,FL-00140,PANAMA CITY,32405,CALHOUN,FL,32198,18948,13250,0,0,0
15742,15743,4399,FL-00140,PANAMA CITY,32405,GULF,FL,26150,0,26150,0,0,0
15742,15743,4399,FL-00140,PANAMA CITY,32405,LEON,FL,6035,0,6035,6100,0,6100
15742,15743,4399,FL-00140,PANAMA CITY,32406,BAY,FL,798595,678170,120425,126600,88500,38100
15742,15743,4399,FL-00140,PANAMA CITY,32407,BAY,FL,653565,480120,173445,402700,294600,108100
15742,15743,4399,FL-00140,PANAMA CITY,32408,BAY,FL,14049978,11807075,2242903,8549300,7260400,1288900
15742,15743,4399,FL-00140,PANAMA CITY,32409,BAY,FL,22130259,18373825,3756434,13218900,11098600,2120300
15742,15743,4399,FL-00140,PANAMA CITY,32411,BAY,FL,392534,351359,41175,252400,228000,24400
15742,15743,4399,FL-00140,PANAMA CITY,32413,BAY,FL,435256,405578,29678,319800,300100,19700
15742,15743,4399,FL-00140,PANAMA CITY,34205,BAY,FL,62527,54227,8300,31600,23300,8300
15742,15743,4399,FL-00140,PANAMA CITY BEACH,32401,BAY,FL,35795,24760,11035,25000,17900,7100
15742,15743,4399,FL-00140,PANAMA CITY BEACH,32407,BAY,FL,7009383,6098289,911094,4297800,3760800,537000
15742,15743,4399,FL-00140,PANAMA CITY BEACH,32408,BAY,FL,16141091,13501625,2639466,8466700,7156000,1310700
15742,15743,4399,FL-00140,PANAMA CITY BEACH,32413,BAY,FL,3215120,2678822,536298,2144900,1784200,360700
15742,15743,4399,FL-00140,PARKER,32404,BAY,FL,4413707,3130270,1283437,2291500,1497800,793700
15742,15743,4399,FL-00140,PERRY,32347,TAYLOR,FL,128362,104662,23700,0,0,0
15742,15743,4399,FL-00140,PERRY,32348,TAYLOR,FL,92615,76465,16150,91200,75000,16200
15742,15743,4399,FL-00140,PONCE DE LEON,32455,BAY,FL,12646,11646,1000,0,0,0
15742,15743,4399,FL-00140,PONCE DE LEON,32455,HOLMES,FL,110821,103976,6845,15200,15200,0
15742,15743,4399,FL-00140,PORT SAINT JOE,32456,GULF,FL,30221186,22568924,7652262,14167800,10647700,3520100
15742,15743,4399,FL-00140,PORT SAINT JOE,32457,GULF,FL,352017,261317,90700,225200,165900,59300
