SBA Physical Declaration Number,SBA EIDL Declaration ,FEMA Disaster Number,SBA Disaster ,Damaged Property City ,Damaged Property Zip,Damaged Property State Code,Total Verified ,Verified Loss Real Estate,Verified Loss Content,Total Approved ,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
14495,14496,4241,SC-00031,CONWAY,29526,SC,2120062,1825551,294511,1074500,738000,158300,178200
14495,14496,4241,SC-00031,CONWAY,29527,SC,883315,751835,131480,556200,100000,126200,330000
14495,14496,4241,SC-00031,CORDOVA,29039,SC,41881,41881,0,14800,14800,0,0
14495,14496,4241,SC-00031,COTTAGEVILLE,29435,SC,19165,19165,0,0,0,0,0
14495,14496,4241,SC-00031,COWARD,29530,SC,39128,39128,0,0,0,0,0
14495,14496,4241,SC-00031,CROSS,29436,SC,5343,4543,800,0,0,0,0
14495,14496,4241,SC-00031,CROSS,29436,SC,3510,0,3510,0,0,0,0
14495,14496,4241,SC-00031,DALZELL,29040,SC,277453,266676,10777,191600,191600,0,0
14495,14496,4241,SC-00031,DARLINGTON,29532,SC,861942,853886,8056,429000,424700,2800,1500
14495,14496,4241,SC-00031,DARLINGTON,29540,SC,86888,86888,0,15600,15600,0,0
14495,14496,4241,SC-00031,Darlington,29532,SC,23332,23332,0,19500,19500,0,0
14495,14496,4241,SC-00031,DORCHESTER,29437,SC,0,0,0,114400,0,0,114400
14495,14496,4241,SC-00031,EASTOVER,29044,SC,594936,525075,69861,555300,374400,27600,153300
14495,14496,4241,SC-00031,Eastover,29044,SC,489186,475386,13800,0,0,0,0
14495,14496,4241,SC-00031,EDISTO ISLAND,29438,SC,0,0,0,25000,0,0,25000
14495,14496,4241,SC-00031,EDISTO ISLAND,29438,SC,9193,8493,700,9200,8500,700,0
14495,14496,4241,SC-00031,EFFINGHAM,29541,SC,987192,982717,4475,139200,139200,0,0
14495,14496,4241,SC-00031,ELGIN,29045,SC,52384,50484,1900,76200,50600,1900,23700
14495,14496,4241,SC-00031,ELGIN,29045,SC,584632,528870,55762,554900,503600,36600,14700
