SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
15340,15341,,SC-00050,BEAUFORT,29902,BEAUFORT,SC,70419,33144,37275,37300,0,37300
15340,15341,,SC-00050,BEAUFORT,29906,BEAUFORT,SC,31126,24651,6475,24700,24700,0
15340,15341,,SC-00050,BEAUFORT,29907,BEAUFORT,SC,5635,5635,0,5100,5100,0
15340,15341,,SC-00050,COTTAGEVILLE,29435,COLLETON,SC,15147,15147,0,14900,14900,0
15340,15341,,SC-00050,LADYS ISLAND,29907,BEAUFORT,SC,69256,69256,0,15600,15600,0
15340,15341,,SC-00050,PORT WENTWORTH,31407,CHATHAM,GA,21804,21804,0,12400,12400,0
15340,15341,,SC-00050,SAINT HELENA ISLAND,29920,BEAUFORT,SC,26667,12617,14050,25000,12000,13000
15340,15341,,SC-00050,SAVANNAH,31404,CHATHAM,GA,12680,12680,0,0,0,0
15340,15341,,SC-00050,SAVANNAH,31405,CHATHAM,GA,19719,11479,8240,9200,9200,0
15340,15341,,SC-00050,SAVANNAH,31406,CHATHAM,GA,64942,55442,9500,37100,33600,3500
15340,15341,,SC-00050,SAVANNAH,31407,CHATHAM,GA,10075,10075,0,2800,2800,0
15340,15341,,SC-00050,SAVANNAH,31410,CHATHAM,GA,266358,206883,59475,61600,49000,12600
15340,15341,,SC-00050,SAVANNAH,31415,CHATHAM,GA,13987,12587,1400,14000,12600,1400
15340,15341,,SC-00050,SAVANNAH,31419,CHATHAM,GA,267649,218389,49260,68600,56700,11900
15340,15341,,SC-00050,TYBEE ISLAND,31328,CHATHAM,GA,252181,160861,91320,0,0,0
15352,15353,4344,CA-00279,AMERICAN CANYON,94503,NAPA,CA,692384,544809,147575,0,0,0
15352,15353,4344,CA-00279,ANAHEIM,92807,ORANGE,CA,680969,555169,125800,240000,200000,40000
15352,15353,4344,CA-00279,ANAHEIM,92808,ORANGE,CA,243491,227691,15800,113100,113100,0
15352,15353,4344,CA-00279,BANGOR,95914,BUTTE,CA,1831040,1500920,330120,510900,415900,95000
15352,15353,4344,CA-00279,BROWNS VALLEY,95918,YUBA,CA,673596,551046,122550,424100,344100,80000
15352,15353,4344,CA-00279,CALISTOGA,94515,NAPA,CA,1177235,944135,233100,22600,0,22600
15352,15353,4344,CA-00279,CALISTOGA,94515,SONOMA,CA,7689783,6561157,1128626,1059000,799900,259100
15352,15353,4344,CA-00279,CLEARLAKE,95422,LAKE,CA,3978860,3178925,799935,419600,300200,119400
15352,15353,4344,CA-00279,CLEARLAKE OAKS,95423,LAKE,CA,23868,1798,22070,23900,1800,22100
15352,15353,4344,CA-00279,CLEARLAKE PARK,95424,LAKE,CA,1221622,1058612,163010,24100,12800,11300
15352,15353,4344,CA-00279,COSTA MESA,92626,ORANGE,CA,297269,258369,38900,0,0,0
15352,15353,4344,CA-00279,COVELO,95428,MENDOCINO,CA,109666,109666,0,0,0,0
15352,15353,4344,CA-00279,ELDRIDGE,95431,SONOMA,CA,15650,0,15650,15700,0,15700
15352,15353,4344,CA-00279,GEYSERVILLE,95441,SONOMA,CA,108400,0,108400,0,0,0
15352,15353,4344,CA-00279,GLEN ELLEN,95442,SONOMA,CA,19923926,16667920,3256006,3256100,2610100,646000
15352,15353,4344,CA-00279,GRASS VALLEY,95945,NEVADA,CA,26100,0,26100,0,0,0
15352,15353,4344,CA-00279,GRASS VALLEY,95949,NEVADA,CA,636257,579657,56600,0,0,0
15352,15353,4344,CA-00279,HEALDSBURG,95448,SONOMA,CA,1052839,887814,165025,28500,0,28500
15352,15353,4344,CA-00279,HIDDEN VALLEY LAKE,95467,LAKE,CA,355453,307253,48200,0,0,0
15352,15353,4344,CA-00279,IRVINE,92612,ORANGE,CA,1,1,0,0,0,0
15352,15353,4344,CA-00279,KENTFIELD,94904,SONOMA,CA,204019,107844,96175,0,0,0
15352,15353,4344,CA-00279,KENWOOD,95452,SONOMA,CA,12944535,11041144,1903391,2140900,1778000,362900
15352,15353,4344,CA-00279,LARKFIELD,95403,SONOMA,CA,4780533,3856243,924290,1037700,800000,237700
15352,15353,4344,CA-00279,LOMA RICA,95901,YUBA,CA,2759267,2248292,510975,728000,582200,145800
15352,15353,4344,CA-00279,MARYSVILLE,95901,BUTTE,CA,6980,0,6980,7000,0,7000
15352,15353,4344,CA-00279,MARYSVILLE,95901,YUBA,CA,7552064,6117474,1434590,2899700,2337200,562500
15352,15353,4344,CA-00279,MIDDLETOWN,95461,LAKE,CA,5400,0,5400,0,0,0
15352,15353,4344,CA-00279,MILL VALLEY,94941,SONOMA,CA,761042,684342,76700,0,0,0
15352,15353,4344,CA-00279,NAPA,94558,NAPA,CA,42838747,36360527,6478220,7218000,5754700,1463300
15352,15353,4344,CA-00279,NAPA,94559,NAPA,CA,1711016,1427151,283865,22800,12800,10000
15352,15353,4344,CA-00279,NAPA,94581,NAPA,CA,60100,0,60100,40000,0,40000
15352,15353,4344,CA-00279,NEVADA CITY,95959,NEVADA,CA,133709,50669,83040,0,0,0
15352,15353,4344,CA-00279,NOVATO,94949,SONOMA,CA,429525,381725,47800,0,0,0
15352,15353,4344,CA-00279,OROVILLE,95965,BUTTE,CA,60850,0,60850,0,0,0
15352,15353,4344,CA-00279,PARADISE,95969,SONOMA,CA,44300,0,44300,0,0,0
15352,15353,4344,CA-00279,PETALUMA,94952,SONOMA,CA,73600,0,73600,0,0,0
15352,15353,4344,CA-00279,POTTER VALLEY,95469,MENDOCINO,CA,636233,511233,125000,164700,131500,33200
15352,15353,4344,CA-00279,RACKERBY,95972,YUBA,CA,1035,0,1035,0,0,0
15352,15353,4344,CA-00279,REDWOOD VALLEY,95470,MENDOCINO,CA,31916095,26236720,5679375,6211000,4856800,1354200
15352,15353,4344,CA-00279,REDWOOD VLY,95470,MENDOCINO,CA,160690,101090,59600,54100,0,54100
15352,15353,4344,CA-00279,ROHNERT PARK,94928,SONOMA,CA,434308,312408,121900,112300,105600,6700
15352,15353,4344,CA-00279,ROUGH AND READY,95975,NEVADA,CA,1364754,971029,393725,137400,92900,44500
15352,15353,4344,CA-00279,SANTA ROSA,94928,SONOMA,CA,501660,443260,58400,0,0,0
15352,15353,4344,CA-00279,SANTA ROSA,95401,SONOMA,CA,2465633,1948258,517375,675900,621100,54800
15352,15353,4344,CA-00279,SANTA ROSA,95402,SONOMA,CA,930842,800142,130700,240000,200000,40000
15352,15353,4344,CA-00279,SANTA ROSA,95403,ORANGE,CA,352841,300241,52600,0,0,0
15352,15353,4344,CA-00279,SANTA ROSA,95403,SONOMA,CA,365315227,298305733,67009494,63410200,51961700,11411100
15352,15353,4344,CA-00279,SANTA ROSA,95404,SONOMA,CA,328430704,280071304,48359400,45298900,38403600,6700500
15352,15353,4344,CA-00279,SANTA ROSA,95405,SONOMA,CA,1841161,1414616,426545,339900,200000,139900
15352,15353,4344,CA-00279,SANTA ROSA,95406,SONOMA,CA,30050,0,30050,0,0,0
15352,15353,4344,CA-00279,SANTA ROSA,95407,SONOMA,CA,957396,711026,246370,232400,200000,32400
15352,15353,4344,CA-00279,SANTA ROSA,95409,SONOMA,CA,8969517,7150667,1818850,1707600,1337600,370000
15352,15353,4344,CA-00279,SEBASTOPOL,95472,SONOMA,CA,478504,370604,107900,31900,0,31900
15352,15353,4344,CA-00279,SONOMA,95476,NAPA,CA,11625,11625,0,11700,11700,0
15352,15353,4344,CA-00279,SONOMA,95476,SONOMA,CA,2805394,2289964,515430,443300,262800,180500
15352,15353,4344,CA-00279,UKIAH,95482,MENDOCINO,CA,12200,0,12200,0,0,0
15352,15353,4344,CA-00279,WILLITS,95490,MENDOCINO,CA,370514,341914,28600,228600,200000,28600
15352,15353,4344,CA-00279,WINDSOR,95492,SONOMA,CA,475411,380136,95275,0,0,0
15378,15379,,SC-00053,SPARTANBURG,29301,SPARTANBURG,SC,54901,44871,10030,23500,13500,10000
15378,15379,,SC-00053,SPARTANBURG,29302,SPARTANBURG,SC,15395,15395,0,0,0,0
15380,15381,,IL-00049,ALGONQUIN,60102,MCHENRY,IL,26668,24668,2000,19500,17500,2000
15380,15381,,IL-00049,ANTIOCH,60002,LAKE,IL,145723,139673,6050,57800,53800,4000
15380,15381,,IL-00049,CHICAGO,60617,COOK,IL,35214,29344,5870,35300,29400,5900
15380,15381,,IL-00049,CHICAGO,60620,COOK,IL,13469,12119,1350,0,0,0
15380,15381,,IL-00049,CHICAGO,60628,COOK,IL,157225,141485,15740,0,0,0
15380,15381,,IL-00049,CHICAGO,60643,COOK,IL,45885,42325,3560,46000,42400,3600
15380,15381,,IL-00049,CHICAGO,60652,COOK,IL,34536,28491,6045,6100,0,6100
15380,15381,,IL-00049,FOX LAKE,60020,LAKE,IL,17240,14740,2500,7700,5200,2500
15380,15381,,IL-00049,GRAYSLAKE,60030,LAKE,IL,62866,50336,12530,52400,39800,12600
15380,15381,,IL-00049,GURNEE,60031,LAKE,IL,118565,94040,24525,93600,71600,22000
15380,15381,,IL-00049,INGLESIDE,60041,LAKE,IL,181866,135226,46640,54100,21400,32700
15380,15381,,IL-00049,LAKE FOREST,60045,LAKE,IL,30570,23470,7100,30600,23500,7100
15380,15381,,IL-00049,LAKE VILLA,60046,LAKE,IL,141386,141386,0,125900,125900,0
15380,15381,,IL-00049,LIBERTYVILLE,60048,LAKE,IL,36900,30700,6200,36900,30700,6200
15380,15381,,IL-00049,MUNDELEIN,60060,LAKE,IL,51808,36263,15545,27100,11500,15600
15380,15381,,IL-00049,NORTH CHICAGO,60064,LAKE,IL,105893,72623,33270,73800,46800,27000
15380,15381,,IL-00049,ROUND LAKE,60073,LAKE,IL,36176,22476,13700,21900,21900,0
15380,15381,,IL-00049,ROUND LAKE BEACH,60073,LAKE,IL,213868,134413,79455,195900,129500,66400
15380,15381,,IL-00049,ROUND LAKE HEIGHTS,60073,LAKE,IL,49747,42247,7500,49800,42300,7500
15380,15381,,IL-00049,ROUND LAKE PARK,60073,LAKE,IL,32226,23001,9225,0,0,0
15380,15381,,IL-00049,SALEM,53168,KENOSHA,WI,118147,91197,26950,46700,19700,27000
15380,15381,,IL-00049,TREVOR,53179,KENOSHA,WI,235068,209828,25240,0,0,0
15380,15381,,IL-00049,VILLAGE OF LAKEWOOD,60014,MCHENRY,IL,29941,24396,5545,0,0,0
15380,15381,,IL-00049,WAUKEGAN,60087,LAKE,IL,36707,30132,6575,0,0,0
15393,15394,,NC-00096,BOONE,28607,WATAUGA,NC,89765,35205,54560,35000,23700,11300
15393,15394,,NC-00096,GRANITE FALLS,28630,CALDWELL,NC,149087,143587,5500,96500,91000,5500
15393,15394,,NC-00096,HAYS,28635,WILKES,NC,29114,29114,0,0,0,0
15393,15394,,NC-00096,HICKORY,28601,CALDWELL,NC,172834,157834,15000,52500,52500,0
15393,15394,,NC-00096,MILLERS CREEK,28651,WILKES,NC,53063,53063,0,50500,50500,0
15393,15394,,NC-00096,MORAVIAN FALLS,28654,WILKES,NC,12584,12024,560,7800,7200,600
15393,15394,,NC-00096,NORTH WILKESBORO,28659,WILKES,NC,287065,250480,36585,160500,139100,21400
15393,15394,,NC-00096,WEST JEFFERSON,28694,ASHE,NC,15120,15120,0,15200,15200,0
15393,15394,,NC-00096,WILKESBORO,28697,WILKES,NC,481862,442227,39635,34700,22000,12700
15393,15394,,NC-00096,ZIONVILLE,28698,WATAUGA,NC,14391,14391,0,9300,9300,0
15416,15417,,CT-00041,NORWALK,06854,FAIRFIELD,CT,241630,132290,109340,221700,132400,89300
15418,15419,,LA-00079,CALL,75933,NEWTON,TX,56239,56239,0,0,0,0
15418,15419,,LA-00079,DEQUINCY,70633,BEAUREGARD,LA,87680,85880,1800,87700,85900,1800
15418,15419,,LA-00079,IOWA,70647,CALCASIEU,LA,130958,103728,27230,91100,63800,27300
15418,15419,,LA-00079,IOWA,70647,JEFFERSON DAVIS,LA,181592,131970,49622,172100,132100,40000
15418,15419,,LA-00079,JENNINGS,70546,JEFFERSON DAVIS,LA,24652,24652,0,0,0,0
15418,15419,,LA-00079,LAKE CHARLES,70601,CALCASIEU,LA,571379,450313,121066,303600,279700,23900
15418,15419,,LA-00079,LAKE CHARLES,70605,CALCASIEU,LA,9180,8930,250,9200,9000,200
15418,15419,,LA-00079,LAKE CHARLES,70607,CALCASIEU,LA,74288,59773,14515,56800,42100,14700
15418,15419,,LA-00079,LAKE CHARLES,70615,CALCASIEU,LA,1731961,1211506,520455,871500,612500,259000
15418,15419,,LA-00079,ORANGE,77630,ORANGE,TX,633197,465315,167882,78200,42900,35300
15418,15419,,LA-00079,ORANGE,77632,ORANGE,TX,654228,329492,324736,296400,154800,141600
15418,15419,,LA-00079,SULPHUR,70665,CALCASIEU,LA,68196,68196,0,0,0,0
15418,15419,,LA-00079,VIDOR,77662,ORANGE,TX,858912,509647,349265,113800,48600,65200
15418,15419,,LA-00079,WESTLAKE,70669,CALCASIEU,LA,69047,57097,11950,0,0,0
15423,15424,,NY-00180,COHOES,12047,ALBANY,NY,16750,0,16750,0,0,0
15438,15439,4353,CA-00282,AGOURA HILLS,91301,LOS ANGELES,CA,10530,0,10530,0,0,0
15438,15439,4353,CA-00282,ARLETA,91331,LOS ANGELES,CA,7137,7137,0,0,0,0
15438,15439,4353,CA-00282,BONSALL,92003,SAN DIEGO,CA,6762146,5825591,936555,1201000,902500,298500
15438,15439,4353,CA-00282,BURBANK,91506,LOS ANGELES,CA,159141,122091,37050,0,0,0
