SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
11464,11465,1798,PR-00003,AGUIRRE,00704,SALINAS,PR,632507,441452,191055,206300,167400,38900
11464,11465,1798,PR-00003,ARROYO,00714,ARROYO,PR,711377,575962,135415,374000,311300,62700
11464,11465,1798,PR-00003,BO MARIANA II,00791,HUMACAO,PR,24414,21664,2750,0,0,0
11464,11465,1798,PR-00003,BO MOSQUITO,00704,SALINAS,PR,19060,11235,7825,0,0,0
11464,11465,1798,PR-00003,BO SAN ANTON,00717,PONCE,PR,625,0,625,0,0,0
11464,11465,1798,PR-00003,BOQUERON,00622,CABO ROJO,PR,175563,148813,26750,77800,68500,9300
11464,11465,1798,PR-00003,BRISAS DE EMAJAGUAS,00707,MAUNABO,PR,11360,10460,900,0,0,0
11464,11465,1798,PR-00003,CABO ROJO,00622,CABO ROJO,PR,33261,18411,14850,0,0,0
11464,11465,1798,PR-00003,CABO ROJO,00623,CABO ROJO,PR,300225,214962,85263,141200,102800,38400
11464,11465,1798,PR-00003,COTO LAUREL,00780,PONCE,PR,20805,19955,850,11500,10600,900
11464,11465,1798,PR-00003,ENSENADA,00647,GUANICA,PR,27899,27299,600,27300,26700,600
11464,11465,1798,PR-00003,EXT EL COQUI,00704,SALINAS,PR,21712,7362,14350,21800,7400,14400
11464,11465,1798,PR-00003,GUANICA,00653,GUANICA,PR,81957,58524,23433,18700,13300,5400
11464,11465,1798,PR-00003,GUAYABOTAS,00767,YABUCOA,PR,16139,12489,3650,0,0,0
11464,11465,1798,PR-00003,GUAYAMA,00784,GUAYAMA,PR,1134150,865215,268935,513000,398000,115000
11464,11465,1798,PR-00003,GUAYAMA,00785,GUAYAMA,PR,144405,91972,52433,89300,48900,40400
11464,11465,1798,PR-00003,GUAYANILLA,00656,GUAYANILLA,PR,148601,112768,35833,38700,27000,11700
11464,11465,1798,PR-00003,GURABO,00778,GURABO,PR,191283,181673,9610,58500,58500,0
11464,11465,1798,PR-00003,HUMACAO,00741,HUMACAO,PR,7950,0,7950,8000,0,8000
11464,11465,1798,PR-00003,HUMACAO,00791,HUMACAO,PR,2583592,2258406,325186,932200,850300,81900
11464,11465,1798,PR-00003,HUMACAO,00792,HUMACAO,PR,117049,100699,16350,44500,44500,0
11464,11465,1798,PR-00003,JUNCOS,00777,JUNCOS,PR,684724,599814,84910,347700,331900,15800
11464,11465,1798,PR-00003,LAJAS,00667,LAJAS,PR,138185,105820,32365,78300,60100,18200
11464,11465,1798,PR-00003,LAS PIEDRAS,00771,LAS PIEDRAS,PR,658647,593802,64845,237300,214300,23000
11464,11465,1798,PR-00003,MAUNABO,00707,MAUNABO,PR,762180,631810,130370,250800,222200,28600
11464,11465,1798,PR-00003,MERCEDITA,00715,PONCE,PR,12429,9029,3400,0,0,0
11464,11465,1798,PR-00003,NAGUABO,00718,NAGUABO,PR,1018471,896720,121751,386900,341100,45800
11464,11465,1798,PR-00003,PATILLAS,00723,GUAYAMA,PR,10250,10250,0,10300,10300,0
11464,11465,1798,PR-00003,PATILLAS,00723,PATILLAS,PR,1567748,1205668,362080,695200,600500,94700
11464,11465,1798,PR-00003,PATLLAS,00723,PATILLAS,PR,7895,7895,0,0,0,0
11464,11465,1798,PR-00003,PENUELAS,00624,PENUELAS,PR,303788,257208,46580,123500,108000,15500
11464,11465,1798,PR-00003,PONCE,00716,PONCE,PR,164041,115366,48675,40500,25600,14900
11464,11465,1798,PR-00003,PONCE,00717,PONCE,PR,220864,134462,86402,101500,55000,46500
