SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
14138,14139,,CA-00225,MOUNT SHASTA,96067,SISKIYOU,CA,422248,334948,87300,0,0,0
14138,14139,,CA-00225,WEED,96094,SISKIYOU,CA,7201431,5561701,1639730,2850000,2238600,611400
14143,14144,,AZ-00039,APACHE JUNCTION,85119,PINAL,AZ,94950,75965,18985,95000,76000,19000
14143,14144,,AZ-00039,CHANDLER,85224,MARICOPA,AZ,13479,13479,0,13500,13500,0
14143,14144,,AZ-00039,CHANDLER,85225,MARICOPA,AZ,8924,4074,4850,4900,4100,800
14143,14144,,AZ-00039,CHANDLER,85248,MARICOPA,AZ,6012,6012,0,6100,6100,0
14143,14144,,AZ-00039,GILBERT,85234,MARICOPA,AZ,89527,85377,4150,14800,12800,2000
14143,14144,,AZ-00039,GILBERT,85295,MARICOPA,AZ,57377,37977,19400,11300,11300,0
14143,14144,,AZ-00039,GILBERT,85297,MARICOPA,AZ,13326,13326,0,11100,11100,0
14143,14144,,AZ-00039,GLENDALE,85301,MARICOPA,AZ,80160,46320,33840,80200,46400,33800
14143,14144,,AZ-00039,GLENDALE,85302,MARICOPA,AZ,9699,9699,0,9400,9400,0
14143,14144,,AZ-00039,GLENDALE,85303,MARICOPA,AZ,256736,147411,109325,227100,147100,80000
14143,14144,,AZ-00039,GLENDALE,85306,MARICOPA,AZ,13673,13673,0,9900,9900,0
14143,14144,,AZ-00039,GLENDALE,85310,MARICOPA,AZ,3352,3352,0,3400,3400,0
14143,14144,,AZ-00039,LAVEEN,85339,MARICOPA,AZ,156142,137112,19030,155000,136000,19000
14143,14144,,AZ-00039,MESA,85202,MARICOPA,AZ,4211,4211,0,4300,4300,0
14143,14144,,AZ-00039,MESA,85203,MARICOPA,AZ,54813,38088,16725,41500,24800,16700
14143,14144,,AZ-00039,MESA,85204,MARICOPA,AZ,222040,159235,62805,156300,119800,36500
14143,14144,,AZ-00039,MESA,85206,MARICOPA,AZ,103436,77381,26055,103600,77500,26100
14143,14144,,AZ-00039,MESA,85209,MARICOPA,AZ,4963,4963,0,2800,2800,0
14143,14144,,AZ-00039,MESA,85210,MARICOPA,AZ,23142,23142,0,0,0,0
14143,14144,,AZ-00039,MESA,85213,MARICOPA,AZ,14225,9475,4750,12800,9500,3300
14143,14144,,AZ-00039,NEW RIVER,85087,MARICOPA,AZ,57529,0,57529,6500,0,6500
14143,14144,,AZ-00039,ORO VALLEY,85737,PIMA,AZ,14088,13288,800,0,0,0
14143,14144,,AZ-00039,PARADISE VALLEY,85253,MARICOPA,AZ,61553,61553,0,61600,61600,0
14143,14144,,AZ-00039,PEORIA,85345,MARICOPA,AZ,30316,26076,4240,0,0,0
14143,14144,,AZ-00039,PEORIA,85382,MARICOPA,AZ,9045,7925,1120,0,0,0
14143,14144,,AZ-00039,PEORIA,85383,MARICOPA,AZ,127431,80976,46455,127500,81100,46400
14143,14144,,AZ-00039,PHOENIX,85004,MARICOPA,AZ,3310,0,3310,0,0,0
14143,14144,,AZ-00039,PHOENIX,85008,MARICOPA,AZ,23190,22440,750,23200,22500,700
14143,14144,,AZ-00039,PHOENIX,85009,MARICOPA,AZ,14832,14332,500,14000,14000,0
14143,14144,,AZ-00039,PHOENIX,85016,MARICOPA,AZ,25214,24709,505,22800,22800,0
14143,14144,,AZ-00039,PHOENIX,85018,MARICOPA,AZ,147045,111615,35430,109000,78300,30700
14143,14144,,AZ-00039,PHOENIX,85020,MARICOPA,AZ,37193,31533,5660,37200,31600,5600
14143,14144,,AZ-00039,PHOENIX,85022,MARICOPA,AZ,3082,3082,0,3100,3100,0
14143,14144,,AZ-00039,PHOENIX,85028,MARICOPA,AZ,200703,80043,120660,120100,80100,40000
14143,14144,,AZ-00039,PHOENIX,85032,MARICOPA,AZ,107963,107963,0,0,0,0
14143,14144,,AZ-00039,PHOENIX,85035,MARICOPA,AZ,14744,12064,2680,14000,12100,1900
14143,14144,,AZ-00039,PHOENIX,85041,MARICOPA,AZ,48932,42392,6540,0,0,0
14143,14144,,AZ-00039,PHOENIX,85042,MARICOPA,AZ,132567,92842,39725,115100,76100,39000
14143,14144,,AZ-00039,PHOENIX,85044,MARICOPA,AZ,30035,30035,0,30100,30100,0
14143,14144,,AZ-00039,PHOENIX,85048,MARICOPA,AZ,40146,28106,12040,40200,28200,12000
14143,14144,,AZ-00039,PHOENIX,85051,MARICOPA,AZ,13396,13396,0,13400,13400,0
14143,14144,,AZ-00039,QUEEN CREEK,85142,MARICOPA,AZ,147596,103586,44010,143600,103600,40000
14143,14144,,AZ-00039,SCOTTSDALE,85251,MARICOPA,AZ,7855,7855,0,7900,7900,0
14143,14144,,AZ-00039,SCOTTSDALE,85254,MARICOPA,AZ,30586,30586,0,30600,30600,0
14143,14144,,AZ-00039,SCOTTSDALE,85257,MARICOPA,AZ,17724,16674,1050,13900,12900,1000
14143,14144,,AZ-00039,TEMPE,85284,MARICOPA,AZ,12745,12745,0,12800,12800,0
14161,14162,,NJ-00038,BRIDGETON,08302,CUMBERLAND,NJ,14315,10665,3650,0,0,0
14161,14162,,NJ-00038,HAMMONTON,08037,ATLANTIC,NJ,104494,91984,12510,0,0,0
14161,14162,,NJ-00038,MILLVILLE,08332,CUMBERLAND,NJ,343327,291367,51960,215300,197700,17600
