SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
13792,13793,,SC-00024,GEORGETOWN,29440,GEORGETOWN,SC,499269,459369,39900,0,0,0
13794,13795,,MO-00067,DEVILS ELBOW,65457,PULASKI,MO,174700,174700,0,0,0,0
13794,13795,,MO-00067,DIXON,65459,PULASKI,MO,3704,3704,0,0,0,0
13794,13795,,MO-00067,ELDON,65026,MILLER,MO,17773,17373,400,0,0,0
13794,13795,,MO-00067,HOLLISTER,65672,TANEY,MO,35100,0,35100,35100,0,35100
13794,13795,,MO-00067,HOLLISTER,65673,TANEY,MO,18407,4157,14250,0,0,0
13794,13795,,MO-00067,JEROME,65529,PHELPS,MO,18056,17536,520,14000,14000,0
13794,13795,,MO-00067,LAKE OZARK,65049,MILLER,MO,14249,14249,0,14000,14000,0
13794,13795,,MO-00067,LAQUEY,65534,PULASKI,MO,44932,11607,33325,0,0,0
13794,13795,,MO-00067,NEWBURG,65550,PHELPS,MO,125252,104652,20600,0,0,0
13794,13795,,MO-00067,ROLLA,65402,PHELPS,MO,81089,41964,39125,0,0,0
13794,13795,,MO-00067,SAINT ROBERT,65584,PULASKI,MO,22334,22334,0,0,0,0
13794,13795,,MO-00067,WAYNESVILLE,65583,PULASKI,MO,310099,212659,97440,198200,133500,64700
13823,13824,,TX-00417,AUSTIN,78704,TRAVIS,TX,112942,51517,61425,41700,1700,40000
13823,13824,,TX-00417,AUSTIN,78728,TRAVIS,TX,22074,22074,0,14000,14000,0
13823,13824,,TX-00417,AUSTIN,78735,TRAVIS,TX,63663,45888,17775,63700,45900,17800
13823,13824,,TX-00417,AUSTIN,78744,TRAVIS,TX,4034153,2092324,1941829,1266200,644300,621900
13823,13824,,TX-00417,AUSTIN,78745,TRAVIS,TX,12829,11829,1000,0,0,0
13823,13824,,TX-00417,AUSTIN,78746,TRAVIS,TX,54372,43862,10510,54400,43900,10500
13823,13824,,TX-00417,AUSTIN,78747,TRAVIS,TX,1875829,1174504,701325,509400,319100,190300
13823,13824,,TX-00417,AUSTIN,78749,TRAVIS,TX,36632,31792,4840,35600,30700,4900
13823,13824,,TX-00417,AUSTIN,78754,TRAVIS,TX,130088,72683,57405,0,0,0
13823,13824,,TX-00417,AUSTIN,78759,TRAVIS,TX,9129,9129,0,0,0,0
13823,13824,,TX-00417,BUDA,78610,HAYS,TX,62268,52468,9800,26200,22500,3700
13823,13824,,TX-00417,DALE,78616,CALDWELL,TX,11142,5117,6025,0,0,0
13823,13824,,TX-00417,DEL VALLE,78617,TRAVIS,TX,491091,287766,203325,14000,0,14000
13823,13824,,TX-00417,DRIFTWOOD,78619,HAYS,TX,6536,6536,0,0,0,0
13823,13824,,TX-00417,GRANGER,76530,WILLIAMSON,TX,41189,40289,900,41200,40300,900
13823,13824,,TX-00417,KYLE,78640,HAYS,TX,36272,35692,580,36300,35700,600
13823,13824,,TX-00417,LOCKHART,78644,CALDWELL,TX,5203,5203,0,5300,5300,0
13823,13824,,TX-00417,MANCHACA,78652,HAYS,TX,336367,192142,144225,167800,84900,82900
13823,13824,,TX-00417,MANCHACA,78652,TRAVIS,TX,15525,15525,0,14000,14000,0
13823,13824,,TX-00417,MARTINDALE,78655,CALDWELL,TX,114670,68030,46640,0,0,0
13823,13824,,TX-00417,MOUNTAIN CITY,78610,HAYS,TX,113615,100915,12700,46000,46000,0
13823,13824,,TX-00417,NIEDERWALD,78640,HAYS,TX,26267,26267,0,26300,26300,0
13823,13824,,TX-00417,PFLUGERVILLE,78660,TRAVIS,TX,6041,6041,0,6100,6100,0
13823,13824,,TX-00417,ROUND ROCK,78664,WILLIAMSON,TX,105949,96919,9030,105900,97100,8800
13823,13824,,TX-00417,SAN MARCOS,78666,CALDWELL,TX,39225,0,39225,14000,0,14000
13823,13824,,TX-00417,SAN MARCOS,78666,HAYS,TX,119638,42473,77165,45100,13900,31200
13823,13824,,TX-00417,SMITHVILLE,78957,BASTROP,TX,11750,8250,3500,11300,8300,3000
13823,13824,,TX-00417,WIMBERLEY,78676,HAYS,TX,24196,11446,12750,11600,11600,0
13829,13830,4157,IL-00043,BROOKPORT,62910,MASSAC,IL,4043868,3176867,867001,2077600,1689800,349200
13829,13830,4157,IL-00043,CENTRALIA,62801,WASHINGTON,IL,98676,95676,3000,0,0,0
13829,13830,4157,IL-00043,COAL CITY,60416,GRUNDY,IL,15140,0,15140,2100,0,2100
13829,13830,4157,IL-00043,DANVILLE,61834,VERMILION,IL,51937,48937,3000,0,0,0
13829,13830,4157,IL-00043,DIAMOND,60416,GRUNDY,IL,2364988,1926258,438730,395100,276000,119100
13829,13830,4157,IL-00043,EAST PEORIA,61611,TAZEWELL,IL,2745562,2412089,333473,921600,792200,129400
13829,13830,4157,IL-00043,EAST PEORIA,61611,WOODFORD,IL,30547,30547,0,0,0,0
13829,13830,4157,IL-00043,ELWOOD,60421,WILL,IL,41812,38812,3000,39400,36400,3000
13829,13830,4157,IL-00043,FAIRFIELD,62837,WAYNE,IL,10850,0,10850,0,0,0
13829,13830,4157,IL-00043,FITHIAN,61844,VERMILION,IL,112397,112397,0,74900,74900,0
13829,13830,4157,IL-00043,FRANKFORT,60423,WILL,IL,16714,10614,6100,13200,7100,6100
13829,13830,4157,IL-00043,GARRETT,61913,DOUGLAS,IL,114500,100520,13980,91900,81400,10500
13829,13830,4157,IL-00043,GEORGETOWN,61846,VERMILION,IL,29258,25658,3600,0,0,0
13829,13830,4157,IL-00043,GIFFORD,61847,CHAMPAIGN,IL,6629845,5408106,1221739,1717300,1382100,335200
13829,13830,4157,IL-00043,HOYLETON,62803,WASHINGTON,IL,303549,261374,42175,182500,181500,1000
13829,13830,4157,IL-00043,MANHATTAN,60442,WILL,IL,114992,114592,400,62600,62200,400
13829,13830,4157,IL-00043,METAMORA,61548,WOODFORD,IL,366358,295358,71000,113700,113700,0
13829,13830,4157,IL-00043,MORRIS,60450,GRUNDY,IL,47874,47874,0,0,0,0
13829,13830,4157,IL-00043,PEKIN,61554,TAZEWELL,IL,2404558,2036714,367844,1143900,1009900,134000
13829,13830,4157,IL-00043,PENFIELD,61862,CHAMPAIGN,IL,609117,557617,51500,240000,200000,40000
