SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
11891,11892,,NY-00074,BRONXVILLE,10708,WESTCHESTER,NY,62686,61486,1200,34500,33600,900
11891,11892,,NY-00074,NEW ROCHELLE,10801,WESTCHESTER,NY,29413,29413,0,29500,29500,0
11891,11892,,NY-00074,YONKERS,10701,WESTCHESTER,NY,314896,268061,46835,253300,219900,33400
11891,11892,,NY-00074,YONKERS,10703,WESTCHESTER,NY,86986,80686,6300,70000,63700,6300
11891,11892,,NY-00074,YONKERS,10710,WESTCHESTER,NY,50525,44900,5625,45600,39900,5700
11906,11907,,KY-00030,NICHOLASVILLE,40356,JESSAMINE,KY,154004,99279,54725,101800,87800,14000
11909,11910,,TN-00033,CHATTANOOGA,37404,HAMILTON,TN,11352,11352,0,10700,10700,0
11909,11910,,TN-00033,CHATTANOOGA,37406,HAMILTON,TN,32363,17688,14675,32400,17700,14700
11909,11910,,TN-00033,CHATTANOOGA,37412,HAMILTON,TN,212248,55633,156615,60700,0,60700
11909,11910,,TN-00033,CHATTANOOGA,37421,HAMILTON,TN,72271,27871,44400,0,0,0
11909,11910,,TN-00033,CLEVELAND,37311,BRADLEY,TN,50399,46499,3900,0,0,0
11909,11910,,TN-00033,EAST RIDGE,37412,HAMILTON,TN,188231,109241,78990,87800,41300,46500
11922,11923,,KY-00031,LIBERTY,42539,CASEY,KY,61814,43514,18300,61900,43600,18300
11926,11927,,IN-00031,CLARKSVILLE,47129,CLARK,IN,125557,89197,36360,64900,44100,20800
11926,11927,,IN-00031,JEFFERSONVILLE,47130,CLARK,IN,457568,277543,180025,357800,195800,111400
11926,11927,,IN-00031,NEW ALBANY,47150,FLOYD,IN,623562,455937,167625,367900,257700,110200
11926,11927,,IN-00031,NORTH VERNON,47265,JENNINGS,IN,201438,160988,40450,279200,160900,40400
11926,11927,,IN-00031,SELLERSBURG,47172,FLOYD,IN,78108,76108,2000,150800,76200,2000
11932,11933,,PR-00005,CATANO,00962,CATANO,PR,18592,16992,1600,6900,6900,0
11939,11940,,VA-00026,CHESAPEAKE,23320,CHESAPEAKE CITY,VA,99225,86123,13102,77300,67100,10200
11939,11940,,VA-00026,CHESAPEAKE,23321,CHESAPEAKE CITY,VA,14772,12822,1950,13200,11200,2000
11939,11940,,VA-00026,CHESAPEAKE,23322,CHESAPEAKE CITY,VA,149156,80736,68420,92000,64400,27600
11939,11940,,VA-00026,CHESAPEAKE,23323,CHESAPEAKE CITY,VA,58055,43005,15050,12400,8700,3700
11939,11940,,VA-00026,CHESAPEAKE,23324,CHESAPEAKE CITY,VA,140077,77652,62425,3800,2500,1300
11939,11940,,VA-00026,CHESAPEAKE,23325,CHESAPEAKE CITY,VA,89789,82729,7060,57100,53500,3600
11939,11940,,VA-00026,HAMPTON,23661,HAMPTON CITY,VA,11344,11344,0,0,0,0
11939,11940,,VA-00026,HAMPTON,23663,HAMPTON CITY,VA,75639,55014,20625,22500,11900,10600
11939,11940,,VA-00026,HAMPTON,23664,HAMPTON CITY,VA,748341,582709,165632,228000,169200,58800
11939,11940,,VA-00026,HAMPTON,23666,HAMPTON CITY,VA,806359,562988,243371,436000,270700,165300
11939,11940,,VA-00026,HAMPTON,23669,HAMPTON CITY,VA,753703,550275,203428,372200,290400,81800
11939,11940,,VA-00026,NEWPORT,23607,NEWPORT NEWS CITY,VA,49300,8100,41200,25000,4000,21000
11939,11940,,VA-00026,NEWPORT NEWS,23601,NEWPORT NEWS CITY,VA,117075,106935,10140,6000,6000,0
11939,11940,,VA-00026,NEWPORT NEWS,23605,NEWPORT NEWS CITY,VA,8843,4843,4000,8500,4500,4000
11939,11940,,VA-00026,NEWPORT NEWS,23607,NEWPORT NEWS CITY,VA,7054,7054,0,7100,7100,0
11939,11940,,VA-00026,NORFOLK,23502,NORFOLK CITY,VA,223931,172801,51130,175300,132700,42600
11939,11940,,VA-00026,NORFOLK,23503,NORFOLK CITY,VA,898587,523687,374900,424700,201900,222800
11939,11940,,VA-00026,NORFOLK,23504,NORFOLK CITY,VA,100689,75424,25265,14000,14000,0
11939,11940,,VA-00026,NORFOLK,23505,NORFOLK CITY,VA,79668,67843,11825,65100,56900,8200
11939,11940,,VA-00026,NORFOLK,23507,NORFOLK CITY,VA,20428,17343,3085,20500,17400,3100
11939,11940,,VA-00026,NORFOLK,23508,NORFOLK CITY,VA,416436,282581,133855,180300,135100,45200
11939,11940,,VA-00026,NORFOLK,23509,NORFOLK CITY,VA,140328,105778,34550,27100,23000,4100
11939,11940,,VA-00026,NORFOLK,23513,NORFOLK CITY,VA,36807,30832,5975,14600,11600,3000
11939,11940,,VA-00026,NORFOLK,23518,NORFOLK CITY,VA,73699,23254,50445,60400,9900,50500
11939,11940,,VA-00026,POQUOSON,23662,POQUOSON CITY,VA,1264908,989428,275480,453200,356500,96700
11939,11940,,VA-00026,PORTSMOUTH,23702,PORTSMOUTH CITY,VA,26354,23929,2425,24900,22500,2400
11939,11940,,VA-00026,PORTSMOUTH,23703,PORTSMOUTH CITY,VA,143516,143516,0,138900,138900,0
11939,11940,,VA-00026,PORTSMOUTH,23704,PORTSMOUTH CITY,VA,168429,134544,33885,119800,93800,26000
11939,11940,,VA-00026,PORTSMOUTH,23707,PORTSMOUTH CITY,VA,31936,31936,0,23300,23300,0
11939,11940,,VA-00026,SEAFORD,23696,YORK,VA,223147,150997,72150,159100,119100,40000
11939,11940,,VA-00026,VA BEACH,23456,VIRGINIA BEACH CITY,VA,7659,7659,0,0,0,0
11939,11940,,VA-00026,VIRGINIA,23453,VIRGINIA BEACH CITY,VA,5214,5214,0,5200,5200,0
11939,11940,,VA-00026,VIRGINIA BEACH,23451,VIRGINIA BEACH CITY,VA,1229877,931232,298645,664500,444200,220300
11939,11940,,VA-00026,VIRGINIA BEACH,23452,VIRGINIA BEACH CITY,VA,152630,85435,67195,107500,43000,64500
11939,11940,,VA-00026,VIRGINIA BEACH,23453,VIRGINIA BEACH CITY,VA,17557,17082,475,13600,13200,400
11939,11940,,VA-00026,VIRGINIA BEACH,23454,VIRGINIA BEACH CITY,VA,121783,114183,7600,112800,111800,1000
11939,11940,,VA-00026,VIRGINIA BEACH,23455,VIRGINIA BEACH CITY,VA,142157,129432,12725,88200,76400,11800
11939,11940,,VA-00026,VIRGINIA BEACH,23456,VIRGINIA BEACH CITY,VA,70045,70045,0,30700,30700,0
11939,11940,,VA-00026,VIRGINIA BEACH,23457,VIRGINIA BEACH CITY,VA,9299,9299,0,0,0,0
11939,11940,,VA-00026,VIRGINIA BEACH,23462,VIRGINIA BEACH CITY,VA,98294,93994,4300,81100,75900,4300
11939,11940,,VA-00026,VIRGINIA BEACH,23464,VIRGINIA BEACH CITY,VA,132736,105476,27260,73100,49800,23300
11939,11940,,VA-00026,VIRGINIA BEACH CITY,23455,VIRGINIA BEACH CITY,VA,93104,88294,4810,93200,88300,4900
11939,11940,,VA-00026,YORKTOWN,23693,YORK,VA,29406,26281,3125,25000,21800,3200
11941,11942,,NC-00022,KITTY HAWK,27949,DARE,NC,16700,16700,0,0,0,0
11941,11942,,NC-00022,NAGS HEAD,27959,DARE,NC,26572,21622,4950,0,0,0
11941,11942,,NC-00022,OCRACOKE,27960,HYDE,NC,11592,11592,0,11600,11600,0
11941,11942,,NC-00022,SWANQUARTER,27885,HYDE,NC,16590,6615,9975,0,0,0
11958,11959,,AR-00036,ALEXANDER,72002,SALINE,AR,55254,47729,7525,103100,47800,7500
11958,11959,,AR-00036,CABOT,72023,LONOKE,AR,125056,109813,15243,95900,89900,6000
11958,11959,,AR-00036,CABOT,72023,PULASKI,AR,12450,12450,0,0,0,0
11958,11959,,AR-00036,CONWAY,72032,FAULKNER,AR,47385,45285,2100,0,0,0
11958,11959,,AR-00036,HENSLEY,72065,SALINE,AR,94078,61478,32600,94100,61500,32600
11958,11959,,AR-00036,LITTLE ROCK,72204,PULASKI,AR,23302,21152,2150,23800,20400,2100
11958,11959,,AR-00036,LITTLE ROCK,72205,PULASKI,AR,226630,126367,100263,87500,47500,40000
11958,11959,,AR-00036,LITTLE ROCK,72207,PULASKI,AR,16447,16447,0,14000,14000,0
11958,11959,,AR-00036,LITTLE ROCK,72209,PULASKI,AR,83145,44245,38900,0,0,0
11958,11959,,AR-00036,MABELVALE,72103,SALINE,AR,17022,15922,1100,7500,7500,0
11958,11959,,AR-00036,NORTH LITTLE ROCK,72118,PULASKI,AR,49910,28740,21170,14000,6500,7500
11958,11959,,AR-00036,NORTH LITTLE ROCK,72120,PULASKI,AR,45292,30367,14925,36100,30400,5700
11958,11959,,AR-00036,SHERIDAN,72150,GRANT,AR,74603,71603,3000,68100,65100,3000
11958,11959,,AR-00036,SHERWOOD,72120,PULASKI,AR,103640,64785,38855,0,0,0
11958,11959,,AR-00036,VILONIA,72173,FAULKNER,AR,27708,27458,250,27800,27500,300
11966,11967,,PR-00006,GUAYNABO,00969,GUAYNABO,PR,34005,27005,7000,34100,27100,7000
11966,11967,,PR-00006,PUERTO NUEVO,00920,SAN JUAN,PR,163408,57433,105975,45000,18300,26700
11966,11967,,PR-00006,RIO PIEDRAS,00927,SAN JUAN,PR,26613,14763,11850,0,0,0
11966,11967,,PR-00006,SAN JUAN,00920,SAN JUAN,PR,260617,98362,162255,116200,63400,52800
11978,11979,,PA-00028,ERIE,16505,ERIE,PA,202460,0,202460,170200,0,170200
11978,11979,,PA-00028,ERIE,16506,ERIE,PA,26975,0,26975,0,0,0
11980,11981,,PA-00029,STROUDSBURG,18360,MONROE,PA,3950,0,3950,4000,0,4000
11986,11987,,AL-00025,ATMORE,36502,ESCAMBIA,AL,460566,287767,172799,91300,77900,13400
11986,11987,,AL-00025,FLOMATON,36441,ESCAMBIA,AL,54056,40331,13725,46600,36200,10400
11996,11997,,FL-00049,AVENTURA,33180,MIAMI-DADE,FL,9830,0,9830,8500,0,8500
11996,11997,,FL-00049,BOYNTON BEACH,33435,PALM BEACH,FL,56358,56358,0,56400,56400,0
11996,11997,,FL-00049,DEERFIELD BEACH,33442,BROWARD,FL,16284,16284,0,14000,14000,0
11996,11997,,FL-00049,FORT LAUDERDALE,33312,BROWARD,FL,13428,11178,2250,10300,10300,0
11996,11997,,FL-00049,HALLANDALE,33009,BROWARD,FL,103327,45257,58070,0,0,0
11996,11997,,FL-00049,HALLANDALE BEACH,33009,BROWARD,FL,176714,70059,106655,28300,10700,17600
11996,11997,,FL-00049,HOLLYWOOD,33019,BROWARD,FL,333023,230113,102910,160300,115500,44800
11996,11997,,FL-00049,HOLLYWOOD,33020,BROWARD,FL,353200,230480,122720,47300,27000,20300
11996,11997,,FL-00049,LAUDERHILL,33313,BROWARD,FL,2744,2744,0,0,0,0
11996,11997,,FL-00049,MIAMI,33147,MIAMI-DADE,FL,10872,8272,2600,10900,8300,2600
11996,11997,,FL-00049,MIAMI,33169,MIAMI-DADE,FL,14153,11403,2750,0,0,0
11996,11997,,FL-00049,MIAMI,33186,MIAMI-DADE,FL,20818,8718,12100,14000,8100,5900
11996,11997,,FL-00049,MIAMI SPRINGS,33166,MIAMI-DADE,FL,55536,55536,0,0,0,0
11996,11997,,FL-00049,MIRAMAR,33023,BROWARD,FL,21260,18710,2550,0,0,0
11996,11997,,FL-00049,N PALM BEACH,33410,PALM BEACH,FL,11278,10278,1000,11300,10300,1000
11996,11997,,FL-00049,PEMBROKE PINES,33025,BROWARD,FL,23368,23368,0,0,0,0
11996,11997,,FL-00049,PLANTATION,33317,BROWARD,FL,15820,15820,0,15900,15900,0
11996,11997,,FL-00049,WEST PALM BEACH,33405,PALM BEACH,FL,21505,19805,1700,18600,16900,1700
12000,12001,,TX-00354,LUFKIN,75901,ANGELINA,TX,522748,357633,165115,238900,157400,81500
12000,12001,,TX-00354,LUFKIN,75904,ANGELINA,TX,722,722,0,0,0,0
