SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
12876,12877,,NJ-00022,PHILADELPHIA,19124,PHILADELPHIA,PA,6572,6572,0,0,0,0
12876,12877,,NJ-00022,PITMAN,08071,GLOUCESTER,NJ,21114,19439,1675,0,0,0
12876,12877,,NJ-00022,PITTSGROVE,08318,SALEM,NJ,12750,0,12750,0,0,0
12876,12877,,NJ-00022,SOMERDALE,08083,CAMDEN,NJ,32678,32678,0,30400,30400,0
12876,12877,,NJ-00022,WEST DEPTFORD,08086,GLOUCESTER,NJ,71588,54738,16850,71600,54800,16800
12876,12877,,NJ-00022,WILLIAMSTOWN,08094,GLOUCESTER,NJ,53131,36106,17025,53200,36200,17000
12884,12885,,MA-00043,BEVERLY,01915,ESSEX,MA,188346,129496,58850,137800,97400,40400
12884,12885,,MA-00043,LYNN,01902,ESSEX,MA,72937,51462,21475,53100,37100,16000
12884,12885,,MA-00043,LYNN,01904,ESSEX,MA,153004,114754,38250,139500,102600,36900
12884,12885,,MA-00043,LYNN,01905,ESSEX,MA,5505,4017,1488,5600,4100,1500
12884,12885,,MA-00043,MARBLEHEAD,01945,ESSEX,MA,300,0,300,0,0,0
12884,12885,,MA-00043,PEABODY,01960,ESSEX,MA,409552,291999,117553,234600,170200,64400
12884,12885,,MA-00043,SALEM,01970,ESSEX,MA,96297,68232,28065,88700,64200,24500
12884,12885,,MA-00043,SWAMPACOTT,01907,ESSEX,MA,33773,11248,22525,15800,11300,4500
12884,12885,,MA-00043,SWAMPSCOTT,01907,ESSEX,MA,651983,456671,195312,309700,208600,101100
12884,12885,,MA-00043,SWAMPSCOTT,09107,ESSEX,MA,93367,19778,73589,30300,9800,20500
12884,12885,,MA-00043,WINCHESTER,01890,MIDDLESEX,MA,2340,2340,0,2400,2400,0
12895,12896,1998,IA-00033,BLENCOE,51523,MONONA,IA,38168,31018,7150,0,0,0
12895,12896,1998,IA-00033,CARTER LAKE,51510,POTTAWATTAMIE,IA,92758,77008,15750,7300,4100,3200
12895,12896,1998,IA-00033,COUNCIL BLUFFS,51501,POTTAWATTAMIE,IA,2371317,2147942,223375,1086800,897500,136100
12895,12896,1998,IA-00033,COUNCIL BLUFFS,51503,MILLS,IA,31829,28779,3050,14000,10900,3100
12895,12896,1998,IA-00033,COUNCIL BLUFFS,51503,POTTAWATTAMIE,IA,19008,0,19008,17100,0,17100
12895,12896,1998,IA-00033,CRESCENT,51526,POTTAWATTAMIE,IA,2536693,2303878,232815,767000,660800,106200
12895,12896,1998,IA-00033,HAMBURG,51640,FREMONT,IA,678630,638380,40250,343100,334200,8900
12895,12896,1998,IA-00033,HONEY CREEK,51542,POTTAWATTAMIE,IA,277553,256128,21425,0,0,0
12895,12896,1998,IA-00033,MISSOURI VALLEY,51555,HARRISON,IA,69595,54945,14650,48800,37100,11700
12895,12896,1998,IA-00033,MISSOURI VALLEY,51555,POTTAWATTAMIE,IA,368838,341988,26850,269900,243000,26900
12895,12896,1998,IA-00033,MODALE,51556,HARRISON,IA,12072,10272,1800,11200,9400,1800
12895,12896,1998,IA-00033,MONDAMIN,51557,HARRISON,IA,189147,188147,1000,188500,187500,1000
12895,12896,1998,IA-00033,ONAWA,51040,MONONA,IA,164964,152639,12325,97000,84700,12300
12895,12896,1998,IA-00033,PACIFIC JCT,51561,MILLS,IA,2194,2194,0,2200,2200,0
