SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
13326,13327,,UT-00015,SANTA CLARA,84765,WASHINGTON,UT,1124154,858417,265737,591300,463400,127900
13328,13329,,OK-00066,LUTHER,73054,OKLAHOMA,OK,923909,618059,305850,312200,196800,115400
13330,13331,,OK-00067,GLENCOE,74032,PAYNE,OK,447441,334466,112975,159600,119300,19400
13330,13331,,OK-00067,MANNFORD,74044,CREEK,OK,36700,0,36700,30700,0,30700
13341,13342,,NY-00126,LIVINGSTON MANOR,12758,SULLIVAN,NY,125169,123314,1855,134800,109500,1900
13346,13347,,PA-00054,WYNCOTE,19095,MONTGOMERY,PA,286311,41711,244600,91600,0,91600
13348,13349,,MA-00049,FALL RIVER,02720,BRISTOL,MA,100215,69840,30375,77900,61300,16600
13348,13349,,MA-00049,PORTSMOUTH,02871,NEWPORT,RI,113553,113553,0,113600,113600,0
13348,13349,,MA-00049,STOUGHTON,02072,NORFOLK,MA,7215,4415,2800,7300,4500,2800
13365,13366,4085,NY-00130,ADDISLEIGH PARK,11434,QUEENS,NY,10925,0,10925,11000,0,11000
13365,13366,4085,NY-00130,AIRMONT,10952,ROCKLAND,NY,268858,235885,32973,31300,28400,2900
13365,13366,4085,NY-00130,ALBERTSON,11507,NASSAU,NY,25423,24923,500,18100,17600,500
13365,13366,4085,NY-00130,AMAGANSETT,11930,SUFFOLK,NY,136258,116573,19685,62500,53400,9100
13365,13366,4085,NY-00130,AMITY HARBOR,11701,SUFFOLK,NY,10894475,7817121,3077354,5192800,3231300,1824600
13365,13366,4085,NY-00130,AMITY HARBOUR,11701,SUFFOLK,NY,72794,49899,22895,0,0,0
13365,13366,4085,NY-00130,AMITYVILLE,11701,NASSAU,NY,103817,84057,19760,0,0,0
13365,13366,4085,NY-00130,AMITYVILLE,11701,SUFFOLK,NY,65139834,48089540,17050294,28968000,20031700,8813300
13365,13366,4085,NY-00130,AMITYVILLE,11701,SULLIVAN,NY,525,0,525,0,0,0
13365,13366,4085,NY-00130,AMITYVILLE,11726,SUFFOLK,NY,184273,138773,45500,0,0,0
13365,13366,4085,NY-00130,AMITYVILLE,11735,SUFFOLK,NY,252658,191708,60950,186900,146900,40000
13365,13366,4085,NY-00130,AMITYVILLE,11803,SUFFOLK,NY,101728,66776,34952,0,0,0
13365,13366,4085,NY-00130,AMITYVYLLE,11701,SUFFOLK,NY,94659,58859,35800,0,0,0
13365,13366,4085,NY-00130,AQUEBOGUE,11901,SUFFOLK,NY,163717,126277,37440,88100,50700,37400
13365,13366,4085,NY-00130,AQUEBOGUE,11931,SUFFOLK,NY,336548,281478,55070,193700,165200,28500
13365,13366,4085,NY-00130,ARDSLEY,10502,WESTCHESTER,NY,16619,14819,1800,0,0,0
13365,13366,4085,NY-00130,AREVRNE,11692,QUEENS,NY,103726,66626,37100,0,0,0
13365,13366,4085,NY-00130,ARMONK,10504,WESTCHESTER,NY,343399,333049,10350,116700,115300,1400
