SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
12351,12352,,MN-00027,AMBOY,56010,BLUE EARTH,MN,79199,50754,28445,28800,17500,11300
12351,12352,,MN-00027,BLOOMING PRAIRIE,55917,STEELE,MN,44971,27821,17150,40000,22900,17100
12351,12352,,MN-00027,ELLENDALE,56026,STEELE,MN,44162,28837,15325,14000,11600,2400
12351,12352,,MN-00027,EYOTA,55934,OLMSTED,MN,87512,68937,18575,33700,32100,1600
12351,12352,,MN-00027,FAIRMONT,56031,MARTIN,MN,12876,11726,1150,12100,11000,1100
12351,12352,,MN-00027,FARIBAULT,55021,RICE,MN,405694,308019,97675,377700,233000,58000
12351,12352,,MN-00027,GARDEN CITY,56034,BLUE EARTH,MN,31887,17532,14355,0,0,0
12351,12352,,MN-00027,GOOD THUNDER,56037,BLUE EARTH,MN,15763,15763,0,0,0,0
12351,12352,,MN-00027,HAMMOND,55991,WABASHA,MN,1899775,1388030,511745,1517900,1035000,333500
12351,12352,,MN-00027,HOLLANDALE,56045,FREEBORN,MN,8587,8587,0,8600,8600,0
12351,12352,,MN-00027,JACKSON,56143,JACKSON,MN,25007,25007,0,25100,25100,0
12351,12352,,MN-00027,KELLOGG,55945,WABASHA,MN,7700,7700,0,3900,3900,0
12351,12352,,MN-00027,MANKATO,56001,BLUE EARTH,MN,79488,54788,24700,75000,51900,23100
12351,12352,,MN-00027,MAPLETON,56065,BLUE EARTH,MN,21459,15384,6075,14000,10400,3600
12351,12352,,MN-00027,MAZEPPA,55956,WABASHA,MN,577375,392575,184800,657600,385800,161400
12351,12352,,MN-00027,MEDFORD,55049,STEELE,MN,18295,17095,1200,14000,14000,0
12351,12352,,MN-00027,MILLVILLE,55957,WABASHA,MN,864180,628535,235645,546100,298200,147500
12351,12352,,MN-00027,MINNESOTA LAKE,56068,FARIBAULT,MN,31074,23324,7750,21100,18400,2700
12351,12352,,MN-00027,NEW RICHLAND,56072,WASECA,MN,65676,54951,10725,12500,12500,0
12351,12352,,MN-00027,NORTHFIELD,55057,RICE,MN,16645,12445,4200,11700,7500,4200
